F1;F2;individuo;F/M;vocal
984;1505;0;0;0
1162;1786;1;0;0
675;1223;2;1;0
816;1230;3;1;0
994;1570;4;0;0
1039;1665;5;0;0
875;1551;6;0;0
866;1453;7;1;0
844;1740;8;0;0
810;1794;9;0;0
750;1285;10;1;0
894;1650;11;0;0
933;1413;12;1;0
773;1260;13;1;0
910;1529;14;1;0
730;1374;15;1;0
753;1265;16;1;0
802;1346;17;1;0
520;2550;0;0;1
504;2710;1;0;1
455;1801;2;1;1
488;2361;3;1;1
522;2617;4;0;1
533;2373;5;0;1
530;2604;6;0;1
471;2274;7;1;1
474;2350;8;0;1
501;2437;9;0;1
397;2094;10;1;1
494;2416;11;0;1
460;2178;12;1;1
470;2194;13;1;1
481;2190;14;1;1
429;2399;15;1;1
482;1802;16;1;1
429;2242;17;1;1
357;2988;0;0;2
554;3208;1;0;2
325;2136;2;1;2
307;2620;3;1;2
401;3022;4;0;2
603;2686;5;0;2
358;2817;6;0;2
308;2618;7;1;2
291;2753;8;0;2
329;3072;9;0;2
303;2223;10;1;2
349;2751;11;0;2
316;2333;12;1;2
354;2532;13;1;2
333;2524;14;1;2
292;2801;15;1;2
271;3170;16;1;2
297;2463;17;1;2
706;934;0;0;3
628;1057;1;0;3
510;823;2;1;3
540;766;3;1;3
567;944;4;0;3
588;935;5;0;3
598;1088;6;0;3
606;921;7;1;3
657;1138;8;0;3
502;1026;9;0;3
476;692;10;1;3
565;986;11;0;3
626;854;12;1;3
487;898;13;1;3
521;890;14;1;3
461;845;15;1;3
545;925;16;1;3
466;896;17;1;3
407;807;0;0;4
408;627;1;0;4
286;660;2;1;4
361;628;3;1;4
409;701;4;0;4
415;701;5;0;4
331;796;6;0;4
422;581;7;1;4
408;844;8;0;4
363;578;9;0;4
409;901;10;1;4
419;897;11;0;4
413;840;12;1;4
343;720;13;1;4
379;742;14;1;4
372;719;15;1;4
398;671;16;1;4
324;588;17;1;4
